Section,ID,Signal,Scoring Rubric,Current Source,Data We Have (D004),Status,Pipeline Field / Fix Needed
PD - A: Initiation & Alternatives,A1,Who Initiated Contact,"Buyer=1, Mutual/Banker=3, Target=5",Proxy background,NONE — proxy files are wrong deals,MISSING,Need correct proxy background
PD - A: Initiation & Alternatives,A2,Time from NDA to Signing,"<6wk=1, 6-12wk=3, >12wk=5",NDA date vs signing date,NDA June 25 + signing July 30 = 35 days,COMPUTABLE,dma_extract source_text (NDA date) + press_release announce_date
PD - A: Initiation & Alternatives,A3,Competitive Process,"No alternatives=1, Market check=3, Auction=5",Proxy background,NONE,MISSING,Need correct proxy background
PD - A: Initiation & Alternatives,A4,Target Standalone Viability,"Distressed=1, Moderate=3, Strong growth=5","Proxy, 10-K",NONE,MISSING,Need proxy background or 10-K pipeline
PD - A: Initiation & Alternatives,A5,Industry Buyer Universe,"1 buyer=1, 2-3=3, 4+=5","Industry analysis, proxy",NONE,MISSING,Need proxy or industry analysis
PD - B: Premium & Consideration,B1,Headline Premium (vs unaffected),"<15%=1, 15-25%=3, 25-40%=4, >40%=5",Merger agreement + stock price,premium_pct=null in press release,MISSING,Need stock price data
PD - B: Premium & Consideration,B2,Premium vs 52-Week High,"Below=1, At=3, >10% above=5",Stock price data,NONE,MISSING,Need stock price feed
PD - B: Premium & Consideration,B3,Price Movement During Negotiation,"No movement=1, 1-10% increase=3, >10%=5",Proxy background,NONE,MISSING,Need correct proxy background
PD - B: Premium & Consideration,B4,Cash as % of Total Consideration,"All stock=1, 10-30%=3, >50%=5, All cash=5",Merger agreement,$45 cash + 2.2005 PANW shares,PARTIAL,dma_extract: offer_price_cash + stock_exchange_ratio. Need PANW price.
PD - B: Premium & Consideration,B5,Collar or Walk-Away on Buyer Stock,"No protection=1, Collar=3, Walk-away=5",Consideration adjustment provisions,Nasdaq proration only — no collar,COMPUTABLE,dma_extract source_text. Answer: No collar. Score=1
PD - C: Protective Terms,C1,RTF as % of Deal Value,"No RTF=1, <2%=2, 2-4%=3, 4-6%=4, >6%=5",Termination section,RTF=$1B. Deal value unknown.,PARTIAL,dma_extract: acquirer_reverse_break_fee_mm=1000. Need equity value.
